,tick,vx,vy
82,1772,0.0,-5.550072401661056e-09
83,1789,0.0,-4.99517334162647e-09
84,1806,0.0,-4.4955182687544945e-09
85,1823,0.0,-4.046007617830584e-09
86,1841,0.0,-3.6414935067341505e-09
87,1857,0.0,-3.2772589975138545e-09
88,1874,0.0,-2.9494980680055957e-09
89,1891,0.0,-2.654461184192769e-09
90,1908,0.0,-2.3891281841770253e-09
91,1925,0.0,-2.150384759147528e-09
92,1942,0.0,-1.9355120173258913e-09
93,1959,0.0,-1.742138877602883e-09
94,1976,0.0,-1.5678544684760707e-09
95,1993,0.0,-1.41096840877708e-09
96,2010,0.0,-1.2697672246986256e-09
97,2027,0.0,-1.1428902269017271e-09
98,2044,0.0,-1.0286360208056064e-09
99,2061,0.0,-9.256449828853874e-10
100,2077,0.0,-8.332040835057342e-10
101,2094,0.0,-7.499906473640294e-10
102,2111,0.0,-6.749555581109234e-10
103,2128,0.0,-6.074376557307914e-10
104,2145,0.0,-5.467100550049509e-10
105,2162,0.0,-4.921570706528655e-10
106,2181,0.0,-4.4303121171651587e-10
107,2197,0.0,-3.986983188042359e-10
108,2214,0.0,-3.588031205481457e-10
109,2232,0.0,-3.2298110852480024e-10
110,2249,0.0,-2.9058071504550747e-10
111,2266,0.0,-2.615937688688064e-10
112,2283,0.0,-2.353331751692167e-10
113,2300,0.0,-2.1179182851938096e-10
114,2317,0.0,-1.9064430034632093e-10
115,2334,0.0,-1.7156267517748347e-10
116,2351,0.0,-1.5450147827777983e-10
117,2368,0.0,-1.3915304464262587e-10
118,2385,0.0,-1.2517311631654595e-10
119,2402,0.0,-1.1254570608798529e-10
120,2419,0.0,-1.0129497240995988e-10
121,2436,0.0,-9.106173592954293e-11
122,2453,0.0,-8.185381261682777e-11
123,2470,0.0,-7.366907084360717e-11
124,2487,0.0,-6.616680536808417e-11
125,2504,0.0,-5.968523453248054e-11
126,2521,0.0,-5.3888626894149636e-11
127,2538,0.0,-4.8429527055304785e-11
128,2555,0.0,-4.3657166770572074e-11
129,2572,0.0,-3.921947211438237e-11
130,2589,0.0,-3.546887228367268e-11
131,2606,0.0,-3.205791188065632e-11
