,tick,vx,vy
112,2485,0.0,-2.353189643145015e-10
113,2502,0.0,-2.1176340680995053e-10
114,2519,0.0,-1.9065282685915008e-10
115,2536,0.0,-1.715122266432445e-10
116,2553,0.0,-1.5441692369222437e-10
117,2570,0.0,-1.3910046448017966e-10
118,2586,0.0,-1.252235648507849e-10
119,2603,0.0,-1.1255814058586112e-10
120,2620,0.0,-1.0117915394403099e-10
121,2637,0.0,-9.105072251713864e-11
122,2654,0.0,-8.183143052065134e-11
123,2671,0.0,-7.366871557223931e-11
124,2688,0.0,-6.615259451336898e-11
125,2705,0.0,-5.962199622899788e-11
126,2722,0.0,-5.389040325098904e-11
127,2739,0.0,-4.8406079145024707e-11
128,2756,0.0,-4.367919359538064e-11
129,2773,0.0,-3.922089319985389e-11
130,2790,0.0,-3.546354321315448e-11
131,2807,0.0,-3.204725373961992e-11
132,2824,0.0,-2.8989433076276325e-11
133,2841,0.0,-2.6257040985910865e-11
134,2858,0.0,-2.3531043780167237e-11
135,2875,0.0,-2.1127632976458698e-11
136,2892,0.0,-1.9082690982941128e-11
137,2909,0.0,-1.7054091472346042e-11
138,2926,0.0,-1.5347367821050283e-11
139,2943,0.0,-1.396749382820417e-11
140,2959,0.0,-1.262137061530666e-11
141,2976,0.0,-1.1254641663072107e-11
142,2993,0.0,-1.0230039038106042e-11
143,3010,0.0,-9.205081141772098e-12
144,3027,0.0,-8.190781386474555e-12
145,3044,0.0,-7.501199661419378e-12
146,3061,0.0,-6.820854991929082e-12
147,3078,0.0,-6.141931407910306e-12
148,3095,0.0,-5.45838929610909e-12
149,3112,0.0,-4.774847184307873e-12
150,3129,0.0,-4.432010314303625e-12
151,3146,0.0,-4.092015615242417e-12
152,3163,0.0,-3.749889287973929e-12
153,3180,0.0,-3.4088287748090806e-12
154,3197,0.0,-3.0677682616442326e-12
155,3214,0.0,-2.7295499194224247e-12
156,3231,0.0,-2.3842261498430163e-12
157,3248,0.0,-2.0460078076212084e-12
158,3265,0.0,-1.70317093761696e-12
159,3282,0.0,-1.70174985214544e-12
160,3299,0.0,-1.6999734953060397e-12
161,3316,0.0,-1.6981971384666394e-12
162,3333,0.0,-1.6964207816272392e-12
163,3350,0.0,-1.694644424787839e-12
164,3367,0.0,-1.6893153542696382e-12
165,3384,0.0,-1.6839862837514374e-12
166,3401,0.0,-1.6822099269120372e-12
167,3418,0.0,-1.680433570072637e-12
168,3435,0.0,-1.6751044995544362e-12
169,3452,0.0,-1.710276364974561e-12
170,3469,0.0,-1.368150037706073e-12
171,3486,0.0,-1.3859136061000755e-12
172,3503,0.0,-1.3429257705865894e-12
173,3520,0.0,-1.3606893389805919e-12
174,3537,0.0,-1.3585577107733115e-12
175,3554,0.0,-1.3571366253017914e-12
176,3570,0.0,-1.3553602684623911e-12
177,3587,0.0,-1.3933743048255566e-12
178,3604,0.0,-1.3645973240272725e-12
179,3621,0.0,-1.3727685654885135e-12
180,3638,0.0,-1.3649525953951526e-12
181,3655,0.0,-1.3571366253017914e-12
182,3672,0.0,-1.3585577107733115e-12
183,3689,0.0,-1.3589129821411916e-12
184,3706,0.0,-1.3503864693120705e-12
185,3723,0.0,-1.3685053090739531e-12
186,3740,0.0,-1.3713474800169934e-12
187,3757,0.0,-1.363531509923632e-12
188,3774,0.0,-1.3592682535090717e-12
189,3791,0.0,-1.3713474800169934e-12
190,3808,0.0,-1.3638867812915122e-12
191,3825,0.0,-1.3628209671878722e-12
192,3842,0.0,-1.3635315099236323e-12
193,3859,0.0,-1.3670842236024328e-12
194,3876,0.0,-1.3599787962448318e-12
195,3893,0.0,-1.3649525953951524e-12
196,3910,0.0,-1.362110424452112e-12
197,3927,0.0,-1.3635315099236323e-12
198,3944,0.0,-1.3642420526593924e-12
199,3961,0.0,-1.3642420526593924e-12
200,3978,-10.0,-1.3642420526593924e-12
201,3995,-19.974511756912058,-0.017739954986696442
202,4012,-29.897923733479107,-0.1064439024547059
203,4029,-39.74405736411016,-0.31697665584846363
204,4046,-49.485789983501114,-0.6970173365861141
205,4063,-59.09476537647906,-1.2902130469437676
206,4080,-68.54121211513633,-2.135323086820921
207,4097,-77.79388770464003,-3.2653748084394842
208,4114,-86.82016279559431,-4.70685895334121
209,4131,-95.58625409985999,-6.47899938805009
210,4148,-104.05760711729103,-8.593137769315994
211,4165,-112.19942055943613,-11.052276644403323
212,4182,-119.97729399604323,-13.850823706069963
213,4199,-127.3579696563538,-16.974574533386665
214,4216,-134.3101296848701,-20.400960828675544
215,4233,-140.80520281528584,-24.099576286883813
216,4250,-146.8181306346769,-28.03297398583824
217,4267,-152.32804426303787,-32.15770947272775
218,4284,-157.31880769058657,-36.42558493011309
219,4301,-161.77939380190577,-40.78503439611378
220,4318,-165.7040721770643,-45.18258006172566
221,4335,-169.092402476297,-49.56428644718104
222,4352,-171.9490417425353,-53.87714299708882
223,4369,-174.28338657225305,-58.07031549961482
224,4386,-176.10908051180874,-62.0962210527326
225,4403,-177.4434225484449,-65.91139792664355
226,4420,-178.3067141481956,-69.47715842144463
227,4437,-178.72158046507738,-72.76002784087164
228,4454,-168.71229698762028,-75.7319847174566
229,4471,-160.98662650024505,-73.86735402415604
230,4488,-153.25822744404678,-71.37286579985009
231,4505,-145.54472301751974,-68.30756310577917
232,4521,-137.85746239708863,-64.73114903261659
233,4538,-130.20224383565238,-60.70323604497384
234,4555,-122.58007608147228,-56.282757537272694
235,4572,-114.98792717586028,-51.527558609776335
236,4589,-107.41945606806811,-46.494121417078034
237,4606,-99.86572194588977,-41.237392449336056
238,4623,-97.83357977066862,-28.80929178356283
239,4640,-93.8685722329103,-18.792642935111658
240,4657,-88.3114292143429,-10.809239586133497
241,4674,-81.45876743721145,-4.595358165969487
242,4691,-73.59798695014813,0.07150051129871832
243,4708,-65.01816005342481,3.413266691175341
244,4725,-56.00353348968907,5.667097876668722
245,4742,-46.81837193653383,7.083878321854604
246,4759,-37.69086845649695,7.916307249319078
247,4776,-28.801445952862053,8.402841417253942
248,4793,-20.27788672724243,8.752641363743958
249,4810,-12.197180610155723,9.13492602037071
250,4827,-4.592335234584477,9.674129533777773
251,4844,2.538207476572364,10.450522753580039
252,4861,9.220676885225435,11.504891608994678
253,4878,15.497069762460917,12.845519008914534
254,4894,21.41797742810791,14.45590774615535
255,4911,27.037308176807322,16.302133962507764
256,4928,32.40871536941937,18.339205877212102
257,4945,37.58338386760958,20.516192281638755
258,4962,42.60880250645127,22.78014026811059
259,4979,47.52819604590986,25.078935634783885
260,4996,52.380362024898595,27.363306733992218
261,5013,57.199730499539626,29.588167933020806
262,5030,62.01652617628076,31.71346900625742
263,5047,66.85695978832709,33.70467898482624
264,5064,71.74340967760659,35.53299697407669
265,5081,76.694577871169,37.17535278746591
266,5098,81.71412108799412,38.64414381103896
267,5115,86.79881388545675,39.93995814853748
268,5132,91.96141752039922,41.02478695827523
269,5149,97.21459769405622,41.86351865709067
270,5166,102.57004544825078,42.42509230759998
271,5183,108.03763925728052,42.683847192563746
272,5200,113.62464987001523,42.620880416329186
273,5217,119.33500833646767,42.22526386014301
274,5234,125.1686710029206,41.49498929119253
275,5251,131.12112409376638,40.43752425507568
276,5268,137.1830733431445,39.06988258634958
277,5285,143.36784282005323,36.859788677169156
278,5302,149.62842452217274,33.974144787549136
279,5319,155.91636675255265,30.549743135296247
280,5336,162.14779515462868,26.810397300061464
281,5353,168.22143751842776,23.029884744999578
282,5370,174.0369427956572,19.48684545367443
283,5387,179.47048012350555,17.217963404384925
284,5404,184.59373185847429,15.901533910883323
285,5421,189.44705534559702,15.320393459123729
286,5438,194.06352268864364,15.282299540000956
287,5455,198.46977596675072,15.613878471472553
288,5472,202.68599965316417,16.157244277378176
289,5489,206.72549271828166,16.767996042880725
290,5506,210.5941027382535,17.31397546619958
291,5523,214.2896679899834,17.6744951993714
292,5540,217.80154977423257,17.739916396447352
293,5557,231.1103042989632,17.411538790987365
294,5574,243.83073847028217,18.322371808007578
